clube_id,pontos_num,preco_num,variacao_num,partida_id,mando,nota,FS,PE,A,FT,FD,FF,G,I,PP,RB,FC,GC,CA,CV,SG,DD,DP,GS,vencedor
315.0,40.6,85.48,6.92,179925.0,1,79.5,18,20,0,1,6,6,1,1,0,12,10,0,2,0,0,3,0,2,-1
284.0,42.699999999999996,134.99,-0.6899999999999994,179925.0,0,96.0,10,20,2,0,3,2,2,1,0,14,18,0,4,0,0,3,0,1,1
287.0,-1.1000000000000005,75.88,-10.770000000000001,179926.0,0,71.0,10,36,0,0,1,6,0,2,0,5,12,0,2,0,0,2,0,2,-1
293.0,67.4,91.12,10.12,179926.0,1,85.0,13,34,2,0,5,8,2,0,0,5,10,0,1,0,6,1,0,0,1
276.0,69.7,163.24,9.66,179927.0,0,83.5,14,33,1,0,7,3,2,1,0,10,12,0,1,0,5,3,0,0,1
262.0,28.299999999999997,148.68999999999997,-6.16,179927.0,1,66.0,11,50,0,1,5,5,0,5,0,19,14,0,1,0,0,3,0,2,-1
265.0,0.0,90.74,0.0,179928.0,0,77.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
292.0,0.0,97.75000000000001,0.0,179928.0,1,81.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
282.0,46.900000000000006,104.90999999999998,2.54,179929.0,1,79.5,9,29,0,0,4,10,0,3,0,13,13,0,1,0,5,1,0,0,0
284.0,37.1,129.84,-1.7700000000000002,179929.0,0,66.0,13,38,0,0,3,1,0,0,0,14,9,0,2,0,4,1,0,0,0
264.0,4.799999999999999,149.13,-7.26,179930.0,1,72.0,20,27,0,0,3,8,0,0,0,4,11,0,4,0,0,1,0,1,-1
316.0,30.400000000000002,55.18999999999999,4.719999999999998,179930.0,0,86.0,12,37,1,0,1,4,1,3,0,6,24,0,4,0,5,1,0,0,1
265.0,70.8,69.85,9.28,179931.0,1,84.5,19,31,1,0,5,3,3,1,0,10,18,0,2,0,5,2,0,0,1
316.0,16.099999999999998,64.69,0.14000000000000012,179931.0,0,72.0,16,27,0,0,3,7,0,1,0,9,21,0,1,0,0,4,0,3,-1
285.0,90.6,124.22000000000001,12.95,179932.0,1,80.5,12,24,2,1,5,8,2,1,0,16,12,0,1,0,6,1,0,0,1
263.0,-5.6999999999999975,73.91,-8.61,179932.0,0,75.0,12,34,0,0,3,4,0,2,0,6,13,0,3,0,0,0,0,2,-1
288.0,60.900000000000006,106.63,7.0299999999999985,179933.0,1,90.5,19,27,1,0,4,6,1,2,0,14,17,0,3,0,6,0,0,0,1
290.0,10.599999999999998,88.14000000000001,-9.500000000000002,179933.0,0,70.5,17,21,0,0,1,6,0,0,0,6,18,0,4,0,0,4,0,1,-1
282.0,43.7,113.57000000000001,3.850000000000001,179934.0,0,82.5,17,35,2,0,1,9,2,3,0,12,15,0,3,0,0,3,0,1,1
277.0,28.3,130.79999999999998,-5.649999999999999,179934.0,1,80.0,14,35,1,0,3,3,1,0,0,16,17,0,2,0,0,1,0,2,-1
292.0,17.0,91.38999999999999,-3.5300000000000002,179935.0,0,74.5,16,33,0,0,4,6,1,1,0,11,11,0,2,0,0,0,0,3,-1
315.0,51.099999999999994,82.93,7.37,179935.0,1,78.0,11,24,2,0,3,10,3,2,0,9,15,0,1,0,0,2,0,1,1
293.0,31.299999999999997,96.47,3.439999999999999,179936.0,1,71.0,17,24,1,0,4,5,1,1,0,10,14,0,2,0,0,2,0,1,0
315.0,19.299999999999997,75.30000000000003,-4.949999999999999,179936.0,0,83.5,14,30,1,0,2,2,1,2,0,7,18,0,2,0,0,3,0,1,0
283.0,57.1,156.26,1.26,179937.0,1,85.5,11,22,3,1,2,7,3,2,0,14,12,0,2,0,0,0,0,2,1
